,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
1574,1,8.23921025711,-21.1722120338,24-25,3.0,0.000297711027088,galaxies
1575,1,8.23921025711,-21.1722120338,24-25,3.0,0.000297711027088,galaxies
4594,1,8.37889000049,-21.2767303294,26-27,3.0,0.0017631566152,galaxies
4595,1,8.37889000049,-21.2767303294,26-27,3.0,0.0017631566152,galaxies
5308,1,8.09851265732,-21.42887905,27-28,3.0,0.0357799679041,galaxies
5309,1,8.09851265732,-21.42887905,27-28,3.0,0.0357799679041,galaxies
6754,1,8.11603001162,-21.5727280313,24-25,3.0,0.000432479428127,galaxies
6755,1,8.11603001162,-21.5727280313,24-25,3.0,0.000432479428127,galaxies
7142,1,8.07905544159,-21.5618239912,20-21,3.0,0.983589351177,SSO
7143,1,8.07905544159,-21.5618239912,20-21,3.0,0.983589351177,SSO
9328,2,8.03857577843,-21.0387542787,23-24,3.0,0.000200861992198,SSO
9329,2,8.03857577843,-21.0387542787,23-24,3.0,0.000200861992198,SSO
9550,2,7.89203281899,-21.1154024705,27-28,3.0,0.551519453526,SSO
9551,2,7.89203281899,-21.1154024705,27-28,3.0,0.551519453526,SSO
9652,2,7.90432552369,-21.1030264566,20-21,3.0,0.999835133553,star
9653,2,7.90432552369,-21.1030264566,20-21,3.0,0.999835133553,star
10060,2,7.78497062142,-21.1650787955,20-21,3.0,0.999501466751,star
10061,2,7.78497062142,-21.1650787955,20-21,3.0,0.999501466751,star
10660,2,8.23923050196,-21.1718793182,24-25,3.0,0.000297711027088,galaxies
10661,2,8.23923050196,-21.1718793182,24-25,3.0,0.000297711027088,galaxies
11588,2,7.86937101527,-21.2310040025,25-26,3.0,0.34844827652,SSO
11589,2,7.86937101527,-21.2310040025,25-26,3.0,0.34844827652,SSO
12636,2,8.18809478525,-21.2772404112,25-26,3.0,0.0773179829121,galaxies
12637,2,8.18809478525,-21.2772404112,25-26,3.0,0.0773179829121,galaxies
13754,2,8.37892730875,-21.276733662,26-27,3.0,0.0017631566152,galaxies
13755,2,8.37892730875,-21.276733662,26-27,3.0,0.0017631566152,galaxies
13966,2,8.28228764278,-21.3360810661,20-21,3.0,0.90349149704,SSO
13967,2,8.28228764278,-21.3360810661,20-21,3.0,0.90349149704,SSO
16530,2,8.07900195432,-21.5615881662,20-21,3.0,0.983589351177,star
16531,2,8.07900195432,-21.5615881662,20-21,3.0,0.983589351177,star
18792,3,8.03866248833,-21.0388365255,23-24,3.0,0.000200861992198,SSO
18793,3,8.03866248833,-21.0388365255,23-24,3.0,0.000200861992198,SSO
18988,3,7.89237114371,-21.1151455817,27-28,3.0,0.551519453526,SSO
18989,3,7.89237114371,-21.1151455817,27-28,3.0,0.551519453526,SSO
19090,3,7.90424737215,-21.1028400152,20-21,3.0,0.999835133553,star
19091,3,7.90424737215,-21.1028400152,20-21,3.0,0.999835133553,star
19480,3,7.78491794056,-21.1649382185,20-21,3.0,0.999501466751,star
19481,3,7.78491794056,-21.1649382185,20-21,3.0,0.999501466751,star
20046,3,8.23915005322,-21.1717488126,24-25,3.0,0.000297711027088,SSO
