,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
212,1,8.17068639072,-21.669332311,20-21,0.01,0.984321892262,star
213,1,8.17068639072,-21.669332311,20-21,0.01,0.984321892262,star
266,1,8.22864247984,-21.6430451031,21-22,0.01,0.999830424786,star
267,1,8.22864247984,-21.6430451031,21-22,0.01,0.999830424786,star
1116,1,7.84614834233,-21.1932746306,22-23,0.01,0.988683342934,star
1117,1,7.84614834233,-21.1932746306,22-23,0.01,0.988683342934,star
1142,1,7.97607018401,-21.7563704952,22-23,0.01,0.00109829881694,galaxies
1143,1,7.97607018401,-21.7563704952,22-23,0.01,0.00109829881694,galaxies
1468,1,8.33034895299,-21.0446147048,21-22,0.01,0.986377894878,star
1469,1,8.33034895299,-21.0446147048,21-22,0.01,0.986377894878,star
1582,1,8.20344539139,-21.1678433903,23-24,0.01,0.0245258025825,galaxies
1583,1,8.20344539139,-21.1678433903,23-24,0.01,0.0245258025825,galaxies
1626,1,8.23384299221,-21.1382239507,22-23,0.01,0.0279035642743,galaxies
1627,1,8.23384299221,-21.1382239507,22-23,0.01,0.0279035642743,galaxies
1798,1,8.06394118104,-21.2304342684,24-25,0.01,0.000430122076068,galaxies
1799,1,8.06394118104,-21.2304342684,24-25,0.01,0.000430122076068,galaxies
1888,1,8.04736332138,-21.1609336087,23-24,0.01,0.995993554592,star
1889,1,8.04736332138,-21.1609336087,23-24,0.01,0.995993554592,star
1998,1,8.10188265664,-21.1070408674,21-22,0.01,0.0280291289091,galaxies
1999,1,8.10188265664,-21.1070408674,21-22,0.01,0.0280291289091,galaxies
2040,1,8.00783690444,-21.2614396324,19-20,0.01,0.967198550701,galaxies
2041,1,8.00783690444,-21.2614396324,19-20,0.01,0.967198550701,galaxies
2508,1,7.84519451368,-21.214841335,22-23,0.01,0.989361405373,star
2509,1,7.84519451368,-21.214841335,22-23,0.01,0.989361405373,star
2594,1,7.76626791094,-21.3657778696,23-24,0.01,0.0269880015403,galaxies
2595,1,7.76626791094,-21.3657778696,23-24,0.01,0.0269880015403,galaxies
2706,1,7.76366101641,-21.2897575376,23-24,0.01,0.971336007118,galaxies
2707,1,7.76366101641,-21.2897575376,23-24,0.01,0.971336007118,galaxies
2730,1,7.78458985404,-21.2811325192,23-24,0.01,0.0182015933096,galaxies
2731,1,7.78458985404,-21.2811325192,23-24,0.01,0.0182015933096,galaxies
2784,1,7.71247039333,-21.2555245277,22-23,0.01,0.0271533820778,galaxies
2785,1,7.71247039333,-21.2555245277,22-23,0.01,0.0271533820778,galaxies
3160,1,8.27521895902,-21.2683965393,21-22,0.01,0.0307302866131,galaxies
3161,1,8.27521895902,-21.2683965393,21-22,0.01,0.0307302866131,galaxies
3648,1,8.13781638212,-21.2316329228,21-22,0.01,0.0283979158849,galaxies
3649,1,8.13781638212,-21.2316329228,21-22,0.01,0.0283979158849,galaxies
4298,1,7.83845511835,-21.4576538466,21-22,0.01,0.0286125224084,galaxies
4299,1,7.83845511835,-21.4576538466,21-22,0.01,0.0286125224084,galaxies
4458,1,7.83581304233,-21.3714611744,21-22,0.01,0.985634148121,star
4459,1,7.83581304233,-21.3714611744,21-22,0.01,0.985634148121,star
4778,1,8.32484900843,-21.3275930299,19-20,0.01,0.985812723637,star
4779,1,8.32484900843,-21.3275930299,19-20,0.01,0.985812723637,star
4838,1,8.00540944872,-21.8418757638,23-24,0.01,0.0157802663743,galaxies
4839,1,8.00540944872,-21.8418757638,23-24,0.01,0.0157802663743,galaxies
4860,1,8.20095343724,-21.4729743574,19-20,0.01,0.0286348238587,galaxies
4861,1,8.20095343724,-21.4729743574,19-20,0.01,0.0286348238587,galaxies
4934,1,8.19110390391,-21.4606764392,21-22,0.01,0.0263730753213,galaxies
4935,1,8.19110390391,-21.4606764392,21-22,0.01,0.0263730753213,galaxies
5030,1,8.15218006844,-21.3786134769,22-23,0.01,0.0278757829219,galaxies
5031,1,8.15218006844,-21.3786134769,22-23,0.01,0.0278757829219,galaxies
5212,1,8.1022689839,-21.4897773959,22-23,0.01,0.0329412147403,galaxies
5213,1,8.1022689839,-21.4897773959,22-23,0.01,0.0329412147403,galaxies
5240,1,8.04058504383,-21.4559768491,22-23,0.01,0.0279683843255,galaxies
5241,1,8.04058504383,-21.4559768491,22-23,0.01,0.0279683843255,galaxies
5560,1,7.91962939155,-21.4800841786,21-22,0.01,0.028364719823,galaxies
5561,1,7.91962939155,-21.4800841786,21-22,0.01,0.028364719823,galaxies
5618,1,7.95133072612,-21.4551768658,24-25,0.01,0.250618636608,galaxies
5619,1,7.95133072612,-21.4551768658,24-25,0.01,0.250618636608,galaxies
5678,1,7.87847533421,-21.5996695734,21-22,0.01,0.0286275055259,galaxies
5679,1,7.87847533421,-21.5996695734,21-22,0.01,0.0286275055259,galaxies
5738,1,7.85440203895,-21.5453160469,22-23,0.01,0.0281722247601,galaxies
5739,1,7.85440203895,-21.5453160469,22-23,0.01,0.0281722247601,galaxies
5792,1,7.86869616829,-21.5120226573,19-20,0.01,0.0286022964865,galaxies
5793,1,7.86869616829,-21.5120226573,19-20,0.01,0.0286022964865,galaxies
5802,1,7.86208879972,-21.5046597698,19-20,0.01,0.985717952251,star
5803,1,7.86208879972,-21.5046597698,19-20,0.01,0.985717952251,star
5890,1,8.53038079074,-21.4645831906,19-20,0.01,0.982519328594,star
5891,1,8.53038079074,-21.4645831906,19-20,0.01,0.982519328594,star
6008,1,8.49884727102,-21.362999049,18-19,0.01,0.993944108486,star
6009,1,8.49884727102,-21.362999049,18-19,0.01,0.993944108486,star
6158,1,8.3285805536,-21.483675551,18-19,0.01,0.0350939705968,galaxies
6159,1,8.3285805536,-21.483675551,18-19,0.01,0.0350939705968,galaxies
6162,1,8.42355922273,-21.4826271721,21-22,0.01,0.984046280384,star
6163,1,8.42355922273,-21.4826271721,21-22,0.01,0.984046280384,star
6234,1,8.40622872774,-21.4438237472,20-21,0.01,0.98317193985,star
6235,1,8.40622872774,-21.4438237472,20-21,0.01,0.98317193985,star
6358,1,8.22562686071,-21.5694847032,18-19,0.01,0.995645821095,star
6359,1,8.22562686071,-21.5694847032,18-19,0.01,0.995645821095,star
6458,1,8.24021167594,-21.5168580207,22-23,0.01,0.0280062612146,galaxies
